rule_id,change_type,rule_content,first_level,second_level,can_detect
E47_05,added,USE modern SwiftUI patterns like @Observable instead of ObservableObject where appropriate,Code Implementation,Framework Usage,FALSE
E56_119,added,- Component Factory: Use config/factory.py for dependency injection and component creation,Architecture & Design,Design Principles & Patterns,FALSE
E56_19,modified,"-- Mutually Exclusive Modes: --url vs --example-data
+- Mutually Exclusive Modes: --url vs --example-data vs --batch",Architecture & Design,Technology Stack Selections,TRUE
E8_16,added,trea.md 文件主要记录关于技术的细节 功能的介绍会比较简单 主要是关于代码的修改记录,Development Workflow & Project Management,Project Documentation,FALSE
E6_36,added,Nuxt Icon is installed.,Architecture & Design,Technology Stack Selections,TRUE
E12_06,added,Give each component a single clear responsibility.,Architecture & Design,Design Principles & Patterns,FALSE
E6_26,added,Always use TypeScript to define all components.,Architecture & Design,Technology Stack Selections,TRUE
E6_105,modified,"- * Use the $vitestFetch global variable to make requests to the API
+ * Use the `$vitestFetch` global variable to make requests to the API (automatically configured with the correct base URL from .env.test)",Code Implementation,Framework Usage,FALSE
E7_10,added,Test functionality after implementing changes.,Quality Assurance,Testing Strategy,FALSE
E38_11,modified,"-maintain consistancy
+maintain consistancy when naming",Code Implementation,Code Style Conventions,FALSE
E16_39,added,"Remember: When in doubt, use the working test scripts to verify hardware functionality before debugging software issues! The system is now production-ready with full multi-user RFID support.",Development Workflow & Project Management,Project Documentation,FALSE
E1_75,modified,"-   - Update progress journal regularly
+   - Update progress journal with each significant advancement",Development Workflow & Project Management,Project Documentation,FALSE
E56_131,modified,"- - Interface-Based Design: All components implement abstract interfaces for testability and extensibility
+ - All components implement abstract interfaces from interfaces/ for testability",Architecture & Design,Design Principles & Patterns,TRUE
E36_02,modified,"- Styling: SCSS, Tailwind CSS
+ Styling: SCSS, CSS",Architecture & Design,Technology Stack Selections,TRUE
E6_114,added,Each test should only test what's described in the test name,Quality Assurance,Testing Strategy,FALSE
E38_30,added,AI\Current Game Architecture.md,Architecture & Design,Design References & Constraints,TRUE
E17_17,added,- Follow standard project structure,Development Workflow & Project Management,Directory Structure,FALSE
E20_84,added,"-- Create default roles
INSERT INTO roles (name, description) VALUES 
('ROLE_USER', 'Standard user role'),
('ROLE_ADMIN', 'Administrator role');

-- Create verified admin user (password: Admin123!)
INSERT INTO users (username, email, password, first_name, email_verified, enabled, created_at) VALUES 
('admin', 'admin@example.com', '2a2a12$LQv3c1yqBw2UKaOF.QiPp.8fJUh4vNI8ZRdkHOJqOg5z8.dNhCQOm', 'Admin', true, true, NOW());

-- Assign admin role
INSERT INTO user_roles (user_id, role_id) 
SELECT u.id, r.id FROM users u, roles r 
WHERE u.username = 'admin' AND r.name = 'ROLE_ADMIN';

INSERT INTO user_roles (user_id, role_id) 
SELECT u.id, r.id FROM users u, roles r 
WHERE u.username = 'admin' AND r.name = 'ROLE_USER';",Development Workflow & Project Management,Environment Configuration,TRUE
E44_01,modified,"- tree -a -I '.git|.idea|.vscode|buld|node_modules|pycache|tmp|.next|.venv|.serverless' -L 6
+ tree -a -I '.git|.idea|.vscode|buld|node_modules|pycache|vendor|tmp|.next|.venv|.serverless' -L 6",Development Workflow & Project Management,Directory Structure,TRUE
E16_16,added,Comprehensive maintenance automation with quality gates,Code Implementation,Business Logic,FALSE
E56_69,added,- Environment Variables: Uses .env files with python-dotenv,Development Workflow & Project Management,Environment Configuration,TRUE
E28_88,added,"## Dependency analysis (POC)
- Command: kiro.deps.scan
- Service: packages/extension/src/services/dependency-cruiser.service.ts
- Behavior: runs dependency-cruiser via npx with sane defaults, timeout, cancellation
- Output: .constellation/data/dependency-analysis.json within the analyzed folder",Architecture & Design,Technology Stack Selections,FALSE
E21_13,added,`src/app/api/trpc/[trpc]/route.ts`: tRPC API endpoints,Development Workflow & Project Management,Project Documentation,TRUE
E47_40,modified,"- USE modern SwiftUI patterns like @Observable instead of ObservableObject where appropriate
+ ""patterns"": ""Modern SwiftUI patterns like @Observable""",Code Implementation,Framework Usage,FALSE
E19_09,modified,"- echo ""Suggested commit: $CHANGE_TYPE($SCOPE): $CHANGE_DESCRIPTION""
+ echo ""Suggested workflow: make test && git add . && git commit -m \""$CHANGE_TYPE($SCOPE): $CHANGE_DESCRIPTION\""""",Development Workflow & Project Management,Workflow Conventions,TRUE
E56_161,added,- Web UI Mode (--ui): Visual interface with real-time updates (recommended),Architecture & Design,Design Principles & Patterns,FALSE
E43_07,added,playback-bars,Architecture & Design,Design References & Constraints,FALSE
E28_52,added,- dependency-cruiser.service.ts: Background dependency scanning integration,Architecture & Design,System Architecture,TRUE
E50_35,added,**Type Inference:** Let TypeScript infer types when obvious,Code Implementation,Language Features,FALSE
E4_15,added,2. **N8nWorkflowAgent (ADK + MCP)**: Authenticated workflow automation with n8n integration,Architecture & Design,System Architecture,FALSE
E2_109,added,Use Red Hat Display for smaller titles and body copy,Code Implementation,Code Style Conventions,FALSE
E28_60,modified,"- - Commands: open MCP config, scan dependencies
+ - Commands: open MCP config, scan dependencies, open graph view
+ - MCP Tools: ping, constellation_impactAnalysis",Architecture & Design,Design References & Constraints,FALSE
E21_12,added,`src/app/page.tsx`: Homepage met scan formulier,Development Workflow & Project Management,Project Documentation,FALSE
E16_72,modified,"- Session Creation: Each RFID card scan creates unique session with 5-minute timeout
+ Session Creation: Each RFID card scan creates unique session (no automatic timeout)
+ Power Resilience: Locker assignments persist through power outages and system restarts
+ Database Integrity: SQLite WAL mode ensures data durability during power interruptions",Code Implementation,Business Logic,FALSE
E2_119,added,Changelog validation on commits,Development Workflow & Project Management,Version Control,FALSE
E22_21,added,"### Widget-GraphQL Separation Pattern
**CRITICAL**: Widgets must NOT directly receive GraphQL generated classes as parameters.

#### Pattern Implementation:
1. **Explicit Fields**: Widgets should have explicit fields to hold the data they need
2. **Factory Constructor**: Create a `fromFragment()` factory constructor that:
   - Takes the GraphQL fragment as parameter
   - Extracts required fields from the fragment  
   - Passes extracted data to the widget's default constructor
3. **Separation of Concerns**: This keeps widgets independent of GraphQL implementation details

#### Example:
```dart
// Widget with explicit fields and factory constructor
class UserCard extends StatelessWidget {
  final String name;
  final String avatarUrl;
  final int followers;
  
  const UserCard({
    required this.name,
    required this.avatarUrl,
    required this.followers,
  });

  // Factory constructor for GraphQL integration
  factory UserCard.fromFragment(GUserCardFragment fragment) {
    return UserCard(
      name: fragment.name,
      avatarUrl: fragment.avatarUrl,
      followers: fragment.followers.value,
    );
  }
}
```",Architecture & Design,Design Principles & Patterns,TRUE
E6_103,added,Each test should only test what's described in the test name,Quality Assurance,Testing Strategy,FALSE
E1_40,modified,"-    - initializing the project as a git repository is always a good idea
-    - commit granular updates often
+    - Initialize the project as a git repository immediately
+    - Commit granular updates with meaningful messages",Development Workflow & Project Management,Version Control,FALSE
E28_73,added,- Package Management: npm with package-lock.json for dependency locking,Architecture & Design,Technology Stack Selections,TRUE
E56_80,added,- Avoid: Direct pytest calls without proper path setup,Development Workflow & Project Management,Workflow Conventions,FALSE
E54_08,added,"### Footer（任意）

- Breaking Changes
- 関連Issue（例：`Fixes #123`，`Closes #456`）",Development Workflow & Project Management,Version Control,FALSE
E2_101,added,"**MANDATORY**: Use UK timezone and date formats (DD/MM/YYYY, GMT/BST)",Code Implementation,Code Style Conventions,TRUE
E13_05,added,`fnm` for Node.js version management via `.node-version` file,Development Workflow & Project Management,Environment Configuration,TRUE
E28_84,added,"## Build and scripts
Root package.json scripts:
bash
pnpm build # turbo run build across packages
pnpm dev # turbo run dev --parallel
pnpm typecheck # turbo run typecheck
pnpm lint # turbo run lint
pnpm test # turbo run test
pnpm watch # pnpm -r run watch (all packages)
pnpm package # build & vsce package (extension vsix)

MCP utilities:
bash
pnpm bundle:mcp # node esbuild.mcp.config.js
pnpm watch:mcp # node esbuild.mcp.config.js --watch
",Development Workflow & Project Management,Workflow Conventions,FALSE
E56_117,modified,"- - Use specific exception types with retry logic
+ - Use structured exception hierarchy from utils/exceptions.py:
 - VideoProcessingError: Base exception for video processing failures
 - ConfigurationError: Configuration validation failures
 - MetadataExtractionError: Video metadata extraction failures
 - SummaryGenerationError: AI summary generation failures
 - StorageError: Data persistence failures",Code Implementation,Error & Exception Handling,FALSE
E2_229,added,- Tests must pass (npm test),Quality Assurance,Testing Strategy,FALSE
E56_115,added,"- Unit Tests: Fast, isolated tests using mock implementations from tests/fixtures/mock_implementations.py",Quality Assurance,Testing Strategy,TRUE
E12_08,added,Keep state management close to where the state is used.,Architecture & Design,Design Principles & Patterns,FALSE
E28_114,added," - Timeout: 30 seconds with progress reporting
 - Performance: Optimized for large codebases with smart file size detection

### Graph Visualization
- Interactive Graphs: Cytoscape.js-powered dependency visualization
- Performance Optimizations: Adaptive layouts and rendering for large graphs (500+ nodes)
- User Interactions: Click to select, double-click to open files
- Real-time Updates: Live progress indicators during scanning and rendering
- Error Handling: Graceful fallbacks with user-friendly error messages",Development Workflow & Project Management,Project Documentation,FALSE
E35_22,added,- **开发启动** - `pnpm start` - 启动开发服务器和 Electron 应用,Development Workflow & Project Management,Workflow Conventions,FALSE
E20_30,modified,"-# Full-Stack Todo Application with Authentication Development Rules
+# Full-Stack Todo Application with Email Verification Development Rules",Development Workflow & Project Management,Project Documentation,FALSE
E39_65,added,This project uses pytest for unit testing.,Code Implementation,Framework Usage,TRUE
E1_03,added,5. Delete the initial .md version of the file,Development Workflow & Project Management,Workflow Conventions,FALSE
E20_59,modified,"-POST /api/auth/register - User registration
+POST /api/auth/register - User registration (sends verification email)",Code Implementation,Business Logic,FALSE
E30_05,added,"## 2. Containers 层（系统容器）
- **前端 Web 应用（React + Vite + TypeScript + Tailwind CSS）**
  - 用户界面、表单交互、结果展示，通过RESTful API与后端通信。
- **后端服务（Node.js + Express + TypeScript）**
  - 处理前端请求，校验输入，代理DeepSeek API，返回优化提示词。
- **DeepSeek API（外部AI服务）**
  - 由后端调用，生成优化后的提示词。
- **本地运行环境**
  - 前后端均可本地开发，依赖管理与环境变量规范化。",Architecture & Design,Technology Stack Selections,FALSE
E55_05,added,6. 不要混淆前后端的`gameState`，UI使用`displayGameState`，后端使用`backendGameState`。,Architecture & Design,Design References & Constraints,TRUE
E43_06,added,types/: App-specific type definitions,Development Workflow & Project Management,Directory Structure,TRUE
E30_18,modified,"- React Router with routes defined in App.tsx
+ React Router 6.26.2 with routes defined in App.tsx",Architecture & Design,Technology Stack Selections,TRUE
E22_33,added,- **Injectable-first approach** - Prefer `@injectable` annotations over direct `getIt` calls,Architecture & Design,Design Principles & Patterns,FALSE
E41_62,added,- Always re-run the unit tests before considering a task complete,Development Workflow & Project Management,Workflow Conventions,FALSE
E6_09,added,"When creating template refs always name them with the `El` suffix. For example:
* `const textareaEl = useTemplateRef('textareaEl')`",Code Implementation,Code Style Conventions,TRUE
E2_155,modified,"- - Update all any types to proper TypeScript types
+ - All new code requires proper TypeScript types",Code Implementation,Language Features,FALSE
E6_123,added,Use data-testid attributes for reliable selectors,Quality Assurance,Testing Strategy,FALSE
