rule_id,file,change_type,rule_content,commit_message,co-changed_files,tier_1
E2_14,.cursorrules,deleted,Document accessibility testing configurations and WCAG rule mappings,"fix: resolve critical linting issues
- Fixed unused variables in multiple files
- Removed unused imports in service files
- Fixed ESLint configuration for scripts directory
- Reduced linting errors from 76 to 46
- Improved code quality and TypeScript compliance","modified .cursorrules 133 99
added .husky/pre-commit 18 0
added CHANGELOG.md 250 0
modified README.md 537 114
added __tests__/runners/axe-test-runner.test.ts 562 0
added __tests__/services/brand-compliance-service.test.ts 372 0
added __tests__/services/configuration-service.test.ts 371 0
added __tests__/services/error-handler-service.test.ts 388 0
added __tests__/services/file-operations-service.test.ts 575 0
added __tests__/services/security-validation-service.test.ts 479 0
deleted cli.js 0 642
added cli.ts 88 0
deleted config.example.js 0 139
modified eslint.config.js 60 0
added jest.config.js 84 0
added jest.setup.ts 115 0
modified package-lock.json 8077 2477
modified package.json 42 18
modified playwright.config.ts 1 9
modified playwright/tests/axe-core-analysis.spec.ts 3 2
modified playwright/tests/comprehensive-reporting.spec.ts 51 10
modified playwright/tests/pa11y-analysis.spec.ts 2 1
modified playwright/tests/pre-crawl.spec.ts 21 48
modified playwright/tests/utils/accessibility-helpers.ts 76 21
modified playwright/tests/utils/accessibility-test-orchestrator.ts 484 436
modified playwright/tests/utils/analyzers/page-analyzer.ts 238 235
modified playwright/tests/utils/global-teardown.ts 64 61
modified playwright/tests/utils/page-list-cache.ts 96 4
modified playwright/tests/utils/pdf-generators/pdf-orchestrator.ts 335 258
modified playwright/tests/utils/pdf-generators/pdf-template-generator.ts 992 151
modified playwright/tests/utils/processors/violation-processor.ts 709 390
modified playwright/tests/utils/runners/axe-test-runner.ts 341 144
added playwright/tests/utils/runners/pa11y-reporters.ts 467 0
modified playwright/tests/utils/runners/pa11y-test-runner.ts 174 86
added playwright/tests/utils/runners/tenon-test-runner.ts 469 0
added playwright/tests/utils/runners/wave-test-runner.ts 367 0
added playwright/tests/utils/services/brand-compliance-service.ts 243 0
modified playwright/tests/utils/services/configuration-service.ts 312 110
modified playwright/tests/utils/services/error-handler-service.ts 228 164
modified playwright/tests/utils/services/file-operations-service.ts 539 214
added playwright/tests/utils/services/security-validation-service.ts 407 0
modified playwright/tests/utils/site-crawler.ts 61 77
modified playwright/tests/utils/site-wide-pdf-generator.ts 53 47
modified playwright/tests/utils/test-setup-util.ts 224 222
modified playwright/tests/visual-analysis.spec.ts 203 1
added scripts/README.md 262 0
added scripts/changelog-add.js 124 0
added scripts/pre-commit-hook.js 183 0
added scripts/prepare-release.js 209 0
added scripts/validate-versions.js 271 0
added scripts/version-bump.js 333 0
added src/cli/accessibility-test-cli.ts 425 0
added src/core/types/common.ts 317 0
added src/core/utils/browser-manager.ts 244 0
added src/core/utils/performance-monitor.ts 681 0
added src/services/analysis/accessibility-tool.ts 72 0
added src/services/analysis/tool-orchestrator.ts 255 0
added src/services/api/accessibility-testing-api.ts 486 0
added src/services/api/analysis-service.ts 449 0
added src/services/api/crawling-service.ts 422 0
added src/services/api/reporting-service.ts 399 0
added src/services/orchestration/analysis-cache.ts 343 0
added src/services/orchestration/analysis-worker.ts 303 0
added src/services/orchestration/parallel-analyzer.ts 272 0
added src/services/orchestration/smart-batcher.ts 444 0
added src/services/orchestration/task-queue.ts 312 0
added src/services/orchestration/workflow-orchestrator.ts 519 0
modified tsconfig.json 12 3",UnClear
E6_15,.cursor/rules/components.mdc,deleted,"When creating template refs always name them with the `El` suffix. For example:
* `const textareaEl = useTemplateRef('textareaEl')`",shadcn ui,"modified .cursor/rules/components.mdc 62 6
modified app/components/ui/alert-dialog/AlertDialogAction.vue 13 8
modified app/components/ui/alert-dialog/AlertDialogCancel.vue 12 12
modified app/components/ui/calendar/CalendarCellTrigger.vue 33 24
modified app/components/ui/calendar/CalendarNextButton.vue 19 15
modified app/components/ui/calendar/CalendarPrevButton.vue 19 15
modified app/components/ui/carousel/CarouselNext.vue 27 21
modified app/components/ui/carousel/CarouselPrevious.vue 27 21
modified app/components/ui/command/CommandDialog.vue 25 14
modified app/components/ui/form/FormLabel.vue 8 11
modified app/components/ui/pagination/PaginationFirst.vue 27 16
modified app/components/ui/pagination/PaginationItem.vue 27 19
modified app/components/ui/pagination/PaginationLast.vue 27 16
modified app/components/ui/pagination/PaginationNext.vue 27 16
modified app/components/ui/pagination/PaginationPrevious.vue 27 16
modified app/components/ui/range-calendar/RangeCalendarCellTrigger.vue 37 26
modified app/components/ui/range-calendar/RangeCalendarNextButton.vue 23 15
modified app/components/ui/range-calendar/RangeCalendarPrevButton.vue 23 15
modified app/components/ui/sidebar/Sidebar.vue 48 34
modified app/components/ui/sidebar/SidebarInput.vue 6 9
modified app/components/ui/sidebar/SidebarMenuButton.vue 30 16
modified app/components/ui/sidebar/SidebarMenuSkeleton.vue 8 8
modified app/components/ui/sidebar/SidebarSeparator.vue 5 5
modified app/components/ui/sidebar/SidebarTrigger.vue 8 8
modified app/components/ui/toggle-group/ToggleGroup.vue 30 18
modified app/components/ui/toggle-group/ToggleGroupItem.vue 31 22
modified nuxt.config.ts 5 4
modified package-lock.json 524 3
modified package.json 1 0",UnClear
E2_45,.cursorrules,deleted,Ensure services are properly initialized and cleaned up,"fix: resolve critical linting issues
- Fixed unused variables in multiple files
- Removed unused imports in service files
- Fixed ESLint configuration for scripts directory
- Reduced linting errors from 76 to 46
- Improved code quality and TypeScript compliance","modified .cursorrules 133 99
added .husky/pre-commit 18 0
added CHANGELOG.md 250 0
modified README.md 537 114
added __tests__/runners/axe-test-runner.test.ts 562 0
added __tests__/services/brand-compliance-service.test.ts 372 0
added __tests__/services/configuration-service.test.ts 371 0
added __tests__/services/error-handler-service.test.ts 388 0
added __tests__/services/file-operations-service.test.ts 575 0
added __tests__/services/security-validation-service.test.ts 479 0
deleted cli.js 0 642
added cli.ts 88 0
deleted config.example.js 0 139
modified eslint.config.js 60 0
added jest.config.js 84 0
added jest.setup.ts 115 0
modified package-lock.json 8077 2477
modified package.json 42 18
modified playwright.config.ts 1 9
modified playwright/tests/axe-core-analysis.spec.ts 3 2
modified playwright/tests/comprehensive-reporting.spec.ts 51 10
modified playwright/tests/pa11y-analysis.spec.ts 2 1
modified playwright/tests/pre-crawl.spec.ts 21 48
modified playwright/tests/utils/accessibility-helpers.ts 76 21
modified playwright/tests/utils/accessibility-test-orchestrator.ts 484 436
modified playwright/tests/utils/analyzers/page-analyzer.ts 238 235
modified playwright/tests/utils/global-teardown.ts 64 61
modified playwright/tests/utils/page-list-cache.ts 96 4
modified playwright/tests/utils/pdf-generators/pdf-orchestrator.ts 335 258
modified playwright/tests/utils/pdf-generators/pdf-template-generator.ts 992 151
modified playwright/tests/utils/processors/violation-processor.ts 709 390
modified playwright/tests/utils/runners/axe-test-runner.ts 341 144
added playwright/tests/utils/runners/pa11y-reporters.ts 467 0
modified playwright/tests/utils/runners/pa11y-test-runner.ts 174 86
added playwright/tests/utils/runners/tenon-test-runner.ts 469 0
added playwright/tests/utils/runners/wave-test-runner.ts 367 0
added playwright/tests/utils/services/brand-compliance-service.ts 243 0
modified playwright/tests/utils/services/configuration-service.ts 312 110
modified playwright/tests/utils/services/error-handler-service.ts 228 164
modified playwright/tests/utils/services/file-operations-service.ts 539 214
added playwright/tests/utils/services/security-validation-service.ts 407 0
modified playwright/tests/utils/site-crawler.ts 61 77
modified playwright/tests/utils/site-wide-pdf-generator.ts 53 47
modified playwright/tests/utils/test-setup-util.ts 224 222
modified playwright/tests/visual-analysis.spec.ts 203 1
added scripts/README.md 262 0
added scripts/changelog-add.js 124 0
added scripts/pre-commit-hook.js 183 0
added scripts/prepare-release.js 209 0
added scripts/validate-versions.js 271 0
added scripts/version-bump.js 333 0
added src/cli/accessibility-test-cli.ts 425 0
added src/core/types/common.ts 317 0
added src/core/utils/browser-manager.ts 244 0
added src/core/utils/performance-monitor.ts 681 0
added src/services/analysis/accessibility-tool.ts 72 0
added src/services/analysis/tool-orchestrator.ts 255 0
added src/services/api/accessibility-testing-api.ts 486 0
added src/services/api/analysis-service.ts 449 0
added src/services/api/crawling-service.ts 422 0
added src/services/api/reporting-service.ts 399 0
added src/services/orchestration/analysis-cache.ts 343 0
added src/services/orchestration/analysis-worker.ts 303 0
added src/services/orchestration/parallel-analyzer.ts 272 0
added src/services/orchestration/smart-batcher.ts 444 0
added src/services/orchestration/task-queue.ts 312 0
added src/services/orchestration/workflow-orchestrator.ts 519 0
modified tsconfig.json 12 3",UnClear
E28_25,.kiro/steering/structure.md,deleted,"Web UI (web/): src/ (main-sidebar, main-dashboard, components/atoms/molecules/organisms, services, types, views, vscode.ts)","refactor: update documentation for product overview, server extension, project structure, technology stack, and web UI engineering","modified .kiro/steering/product.md 23 23
modified .kiro/steering/server-extension-mcp.md 46 105
modified .kiro/steering/structure.md 85 102
modified .kiro/steering/tech.md 64 103
modified .kiro/steering/web-ui-preact.md 30 133",UnClear
E2_55,.cursorrules,deleted,Implement proper page lifecycle management,"fix: resolve critical linting issues
- Fixed unused variables in multiple files
- Removed unused imports in service files
- Fixed ESLint configuration for scripts directory
- Reduced linting errors from 76 to 46
- Improved code quality and TypeScript compliance","modified .cursorrules 133 99
added .husky/pre-commit 18 0
added CHANGELOG.md 250 0
modified README.md 537 114
added __tests__/runners/axe-test-runner.test.ts 562 0
added __tests__/services/brand-compliance-service.test.ts 372 0
added __tests__/services/configuration-service.test.ts 371 0
added __tests__/services/error-handler-service.test.ts 388 0
added __tests__/services/file-operations-service.test.ts 575 0
added __tests__/services/security-validation-service.test.ts 479 0
deleted cli.js 0 642
added cli.ts 88 0
deleted config.example.js 0 139
modified eslint.config.js 60 0
added jest.config.js 84 0
added jest.setup.ts 115 0
modified package-lock.json 8077 2477
modified package.json 42 18
modified playwright.config.ts 1 9
modified playwright/tests/axe-core-analysis.spec.ts 3 2
modified playwright/tests/comprehensive-reporting.spec.ts 51 10
modified playwright/tests/pa11y-analysis.spec.ts 2 1
modified playwright/tests/pre-crawl.spec.ts 21 48
modified playwright/tests/utils/accessibility-helpers.ts 76 21
modified playwright/tests/utils/accessibility-test-orchestrator.ts 484 436
modified playwright/tests/utils/analyzers/page-analyzer.ts 238 235
modified playwright/tests/utils/global-teardown.ts 64 61
modified playwright/tests/utils/page-list-cache.ts 96 4
modified playwright/tests/utils/pdf-generators/pdf-orchestrator.ts 335 258
modified playwright/tests/utils/pdf-generators/pdf-template-generator.ts 992 151
modified playwright/tests/utils/processors/violation-processor.ts 709 390
modified playwright/tests/utils/runners/axe-test-runner.ts 341 144
added playwright/tests/utils/runners/pa11y-reporters.ts 467 0
modified playwright/tests/utils/runners/pa11y-test-runner.ts 174 86
added playwright/tests/utils/runners/tenon-test-runner.ts 469 0
added playwright/tests/utils/runners/wave-test-runner.ts 367 0
added playwright/tests/utils/services/brand-compliance-service.ts 243 0
modified playwright/tests/utils/services/configuration-service.ts 312 110
modified playwright/tests/utils/services/error-handler-service.ts 228 164
modified playwright/tests/utils/services/file-operations-service.ts 539 214
added playwright/tests/utils/services/security-validation-service.ts 407 0
modified playwright/tests/utils/site-crawler.ts 61 77
modified playwright/tests/utils/site-wide-pdf-generator.ts 53 47
modified playwright/tests/utils/test-setup-util.ts 224 222
modified playwright/tests/visual-analysis.spec.ts 203 1
added scripts/README.md 262 0
added scripts/changelog-add.js 124 0
added scripts/pre-commit-hook.js 183 0
added scripts/prepare-release.js 209 0
added scripts/validate-versions.js 271 0
added scripts/version-bump.js 333 0
added src/cli/accessibility-test-cli.ts 425 0
added src/core/types/common.ts 317 0
added src/core/utils/browser-manager.ts 244 0
added src/core/utils/performance-monitor.ts 681 0
added src/services/analysis/accessibility-tool.ts 72 0
added src/services/analysis/tool-orchestrator.ts 255 0
added src/services/api/accessibility-testing-api.ts 486 0
added src/services/api/analysis-service.ts 449 0
added src/services/api/crawling-service.ts 422 0
added src/services/api/reporting-service.ts 399 0
added src/services/orchestration/analysis-cache.ts 343 0
added src/services/orchestration/analysis-worker.ts 303 0
added src/services/orchestration/parallel-analyzer.ts 272 0
added src/services/orchestration/smart-batcher.ts 444 0
added src/services/orchestration/task-queue.ts 312 0
added src/services/orchestration/workflow-orchestrator.ts 519 0
modified tsconfig.json 12 3",UnClear
E41_42,.kiro/steering/tech.md,added,No sensitive data in logs,"Update tech steering guidelines with comprehensive development standards
- Restructure tech.md with proper frontmatter for always inclusion
- Add detailed TypeScript, backend, and frontend architecture patterns
- Include security requirements and performance guidelines
- Expand testing standards and development workflow
- Add consistent error handling conventions",modified .kiro/steering/tech.md 59 59,Clear
E28_19,.kiro/steering/structure.md,added,├── tools/ # Extension tools (empty directory),"Updates documentation and project structure
Refactors and updates the project documentation to reflect current architecture and dependencies.
- Adds extension metadata, commands, and troubleshooting tips to the product documentation.
- Updates the project structure documentation to reflect the new HTTP bridge service and atomic design system.
- Refreshes the technology stack documentation with specific versions and build process details.
- Deletes the redundant MCP server entry point.","modified .kiro/steering/product.md 23 8
modified .kiro/steering/structure.md 15 4
modified .kiro/steering/tech.md 36 14
deleted src/mcp/mcpStdioServer.ts 0 3",Unclear
E6_09,.cursor/rules/components.mdc,added,"When creating template refs always name them with the `El` suffix. For example:
* `const textareaEl = useTemplateRef('textareaEl')`",feat: more component rules,modified .cursor/rules/components.mdc 5 2,Clear
E47_23,.cursorrules,added,COMPLEX LOGIC: Add inline comments explaining the reasoning,Enhance .cursorrules with comprehensive development standards - Add Swift 6 and SwiftUI latest syntax requirements - Include code quality and reusability standards - Add Apple guidelines compliance rules - Include comment standards and development process rules,modified .cursorrules 42 0,Clear
E44_13,.cursorrules,added," {
 ""step"": ""5. Testing"",
 ""tasks"": [
 ""Write unit tests for PHP components"",
 ""Implement integration tests"",
 ""Perform load testing""
 ]
 }",stage 1,"modified .cursorrules 30 24
added .env 18 0
added .env.example 13 0
added .gitignore 59 0
added Makefile 68 0
added README.md 85 0
added artisan 53 0
added bootstrap/app.php 55 0
added bootstrap/cache/packages.php 16 0
added bootstrap/cache/services.php 231 0
added composer.json 39 0
added composer.lock 7300 0
added config/app.php 52 0
added config/database.php 27 0
added docker-compose.yml 51 0
added docker/php/Dockerfile 61 0
added docker/php/apache.conf 17 0
added docker/solr/Dockerfile 13 0
added docker/solr/managed-schema.xml 52 0
added docker/solr/solrconfig.xml 84 0
added docker/solr/synonyms.txt 15 0
added public/.htaccess 4 0
added public/index.php 26 0
added routes/api.php 7 0
added scripts/ingest_names.php 131 0
added scripts/wait-for-solr.sh 16 0
added src/App/Application.php 10 0
added src/App/Console/Commands/IngestNamesCommand.php 18 0
added src/App/Console/Kernel.php 18 0
added src/App/Controller/SuggesterController.php 30 0
added src/App/Exceptions/Handler.php 19 0
added src/App/Http/Kernel.php 15 0
added src/App/Providers/AppServiceProvider.php 18 0
added src/App/Providers/DatabaseServiceProvider.php 24 0
added src/App/Providers/RouteServiceProvider.php 18 0
added src/App/Service/SuggesterService.php 88 0
added storage/logs/laravel.log 1394 0
added tests/Service/SuggesterServiceTest.php 55 0",UnClear
